"행정구역별(1)",행정구역별(2),2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024
"행정구역별(1)",행정구역별(2),건물수 (동),연면적 (㎡),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),건물수 (동),연면적 (㎡),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),건물수 (동),연면적 (㎡),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),건물수 (동),연면적 (㎡),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),건물수 (동),연면적 (㎡),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),건물수 (동),연면적 (㎡),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE),에너지사용량 (TOE)
"행정구역별(1)",행정구역별(2),소계,소계,소계,전기,도시가스,지역난방,소계,소계,소계,전기,도시가스,지역난방,소계,소계,소계,전기,도시가스,지역난방,소계,소계,소계,전기,도시가스,지역난방,소계,소계,소계,전기,도시가스,지역난방,소계,소계,소계,전기,도시가스,지역난방
"전국",소계,5238627,3218713467,33572203,17467388,13705834,2398981,5208393,3261897151,33186507,17197527,13518777,2470203,5219064,3363172239,34343898,17763102,13940209,2640586,5349051,3467238906,36362029,19114158,14449063,2798807,5464961,3578941022,35888375,19505367,13703969,2679040,5480986,3634273351,37275403,21114690,13456694,2704019
"서울특별시",소계,548392,548411687,7718897,3529254,3704100,485543,539438,551017511,7427578,3393817,3539057,494704,534469,566374800,7650243,3486021,3617731,546491,534918,574459513,7992270,3670541,3751052,570678,533135,581831800,7778944,3750717,3488041,540186,533546,582000729,7860566,3974955,3364568,521044
"서울특별시",종로구,23249,16138633,253976,131852,121325,799,23090,18255990,232213,124354,106947,912,22845,18551145,242240,125179,117061,0,22875,18662772,253765,130809,122955,0,22940,19013561,251942,133091,118851,0,23037,18945987,257045,141112,115933,0
"서울특별시",중구,15133,19428776,313620,179508,133606,506,14898,19382745,267146,160595,106080,471,14776,19714506,284864,159236,125619,10,14832,20498312,302312,168801,133501,10,14753,20715693,303838,172826,131012,0,14731,21024667,316223,185777,130446,0
"서울특별시",용산구,20499,15940897,218951,96744,109916,12291,20297,15979004,208989,91920,104394,12674,20154,16169577,218615,97661,108624,12330,20299,16556342,233134,108600,112223,12312,20344,16728644,234513,116338,105688,12488,20208,16966260,236843,123765,101122,11957
"서울특별시",성동구,16855,16975773,237289,119535,117706,48,16263,17026748,230173,116903,113228,42,15934,19130128,243564,121082,122439,44,15949,19235571,266973,142193,124731,48,15893,19468526,263587,145683,117904,0,15959,19406367,272450,158000,114450,0
"서울특별시",광진구,24291,16346316,254129,104030,150099,0,23980,16230439,241570,99487,142083,0,23861,16390039,249812,101388,148425,0,23977,16777719,261582,107131,154450,0,23916,16975415,253390,108717,144673,0,23917,17014090,253660,113490,140170,0
"서울특별시",동대문구,26017,17697863,240169,102809,137359,0,24899,17719168,230727,99214,131513,0,24359,17820851,237942,101233,136709,0,24415,18001523,246129,104912,141217,0,24463,18612823,240884,107936,132949,0,24487,18766051,244870,115753,129117,0
"서울특별시",중랑구,26811,20708497,217849,84633,125488,7727,26372,20781317,214707,83136,123569,8002,26005,21135754,221485,85057,127717,8711,26180,21596547,229608,87943,131774,9891,26173,21807483,221880,90469,122505,8906,26262,19154678,221811,94849,117736,9226
"서울특별시",성북구,31629,19926690,283941,112312,171629,0,30817,19891832,273340,108585,164755,0,30170,20599678,284753,112425,172327,0,30172,20881792,294464,116847,177617,0,30128,21246170,285593,119783,165810,0,29927,21233648,283995,124758,159237,0
"서울특별시",강북구,26174,12240458,189053,72588,116465,0,25898,12216305,184413,70493,113920,0,25668,12347966,184672,71168,113504,0,25764,12517799,193814,72385,121429,0,25774,12729213,181722,73324,108398,0,25619,12735242,180315,75115,105201,0
"서울특별시",도봉구,15318,15252404,184626,69623,106786,8217,15101,15239221,180611,67975,104225,8411,15023,15382610,181873,69253,104214,8405,15063,15548487,189882,70232,110913,8738,15087,15793122,177488,71074,98576,7837,15123,14066362,178215,74688,96135,7392
"서울특별시",노원구,12164,21880136,287182,118568,117296,51318,12051,21946783,280121,115829,110292,54001,11925,22230328,287763,119214,114605,53944,11787,22278160,297245,122859,118554,55832,11797,22459373,284395,123535,111453,49408,11751,22587836,279245,126664,107604,44978
"서울특별시",은평구,29162,19119746,280501,110727,154693,15081,28340,18999645,279345,108529,154726,16090,28205,19594094,284986,111247,157336,16404,28251,19939999,296432,117520,161766,17147,27553,20217407,283409,120711,147610,15089,27309,20295168,281115,125700,140892,14524
"서울특별시",서대문구,20892,16240388,238398,97227,134369,6802,20604,16216865,227967,92177,128986,6804,20142,16625283,230599,93319,129423,7857,20122,16746827,242290,98835,135528,7927,20158,17070114,238737,104727,126330,7680,20173,17383823,241371,110459,123333,7579
"서울특별시",마포구,23271,22699938,364079,170034,162864,31181,22942,22760116,342244,163826,147710,30708,22621,23134516,359112,168020,149218,41874,22744,23579442,378927,180614,155779,42534,22739,23913757,374944,186967,145139,42839,22788,24168293,380291,196943,141181,42167
"서울특별시",양천구,16976,20053445,279697,124058,99474,56165,16855,20080486,275513,121395,97143,56975,16869,20542764,281069,124853,98845,57371,16966,20869209,289701,128815,101165,59721,16982,21029595,276239,129597,92557,54086,17009,21132790,288563,148467,88514,51583
"서울특별시",강서구,24236,31797304,384058,174272,169529,40258,23890,32055399,381531,172681,168069,40781,23791,33375091,414424,178663,167615,68147,23781,34072270,439883,193130,174645,72108,23795,34559767,432147,201663,162722,67762,23904,35346198,445496,221892,158139,65465
"서울특별시",구로구,20426,21829176,311625,150478,157061,4086,20218,21897598,298737,141372,152355,5010,20157,22370152,305748,145825,154298,5625,20179,22655760,317734,153009,158724,6001,20176,23104436,310599,155461,149547,5591,20181,23155865,307017,158655,143038,5325
"서울특별시",금천구,14618,16058656,207727,112079,94901,748,14428,16158799,204472,109685,93931,856,14358,16698662,210606,114252,95608,746,14398,17027455,219362,119997,98570,795,14378,17398417,214819,122119,92022,678,14461,18411686,219868,130588,88631,649
"서울특별시",영등포구,23648,27543933,394572,201677,174983,17912,23335,27555875,381232,193513,169731,17988,23025,29109153,393164,198560,176138,18466,23017,29603724,423486,206045,198375,19066,22913,29899864,396636,209103,170742,16791,22922,30311377,408636,226628,165062,16946
"서울특별시",동작구,23225,17531938,260815,102574,157319,922,22945,17537824,252269,96652,155590,27,22690,17716653,251212,98242,152938,32,22232,17872986,258186,99867,158287,32,21402,17785810,243721,100604,143118,0,21072,18024057,242738,105335,137403,0
"서울특별시",관악구,31723,20657915,336828,136645,200183,0,31442,21932816,331238,132726,198511,0,31299,22230193,332763,136043,196643,78,31271,22374800,343532,139906,203545,81,31178,22466306,327059,141810,185249,0,31236,21484936,325350,146250,179100,0
"서울특별시",서초구,17079,32922373,486451,252454,194992,39005,16721,32526556,465418,241413,184546,39459,16686,32824535,464529,242700,181974,39854,16447,33062323,471722,247243,182800,41679,16327,33187971,465398,252890,172353,40155,16476,34023598,470323,264215,164942,41165
"서울특별시",강남구,22999,48304549,714604,368648,255985,89970,22628,48046040,685653,355113,238714,91826,22464,48871036,696833,364645,236446,95742,22602,49321162,715429,378713,235687,101029,22635,50097327,704121,382513,227033,94575,23092,50997973,705761,401980,216279,87502
"서울특별시",송파구,23077,38277735,515867,233056,192403,90407,22826,37671939,503372,226002,185186,92184,22727,38819901,516110,236444,185492,94175,22846,39622421,533979,246403,190660,96916,22859,40046794,521949,248894,179058,93997,22984,38967842,524629,263799,170155,90675
"서울특별시",강동구,18922,22838149,262890,103122,147668,12100,18599,22908001,254580,100242,142853,11484,18716,24990185,271503,110313,144513,16676,18750,25156111,292701,127733,146157,18811,18773,25504211,289932,130886,136744,22303,18918,26395938,294736,140075,130748,23913
"부산광역시",소계,269583,208169832,1918711,1045950,844248,28513,264698,210366992,1898057,1025440,844091,28526,261265,215138053,1951907,1043425,878872,29610,261826,219559819,2012441,1088002,893617,30823,261376,227000236,1996359,1112345,855638,28376,258755,225463198,2054272,1189999,835400,28872
"부산광역시",중구,7260,3873006,43574,29350,14224,0,7205,3916003,40298,27010,13289,0,7153,4018141,40171,26612,13559,0,7159,4053360,41322,27379,13944,0,7166,4071498,41603,27714,13889,0,6998,4006089,42166,28716,13450,0
"부산광역시",서구,11477,5819577,56327,29477,26850,0,11380,5890806,55234,29171,26063,0,11217,6021734,56765,29753,27012,0,11163,6406561,57808,30483,27325,0,11207,6514827,59564,32332,27232,0,10971,6987185,65935,38636,27299,0
"부산광역시",동구,11842,5439919,54525,32696,21829,0,11770,5552000,53549,31858,21691,0,11729,5968473,54204,31554,22650,0,11750,6301694,57073,33475,23598,0,11776,6396958,56843,33530,23313,0,11443,6808055,60882,37263,23618,0
"부산광역시",영도구,15397,5944492,54677,29686,24991,0,15210,5968871,54491,29184,25307,0,15052,6014532,55985,29373,26613,0,15027,6200862,58322,31233,27089,0,14837,6119289,56647,31060,25587,0,14334,6216222,58282,32775,25507,0
"부산광역시",부산진구,29239,22126222,225999,131074,94924,0,28275,22274208,222155,127759,94396,1,27330,22962235,228394,129343,99051,0,26939,23116554,234804,135109,99695,0,26744,23640541,231893,136284,95608,0,26180,23308791,234001,141053,92948,0
"부산광역시",동래구,19637,17848512,137547,70773,66774,0,19200,18058319,137834,70009,67825,0,18964,18195573,141992,70702,71290,0,18928,18495890,146968,74936,72032,0,18885,19077164,146970,77709,69261,0,18610,19195592,149690,82396,67295,0
"부산광역시",남구,21652,15665516,151668,82793,68874,0,20467,15317665,148962,80956,68006,0,20038,15428876,152471,82262,70179,30,19801,15331594,151961,81399,70527,35,18963,15951430,147025,80030,66969,27,18069,16054553,150973,85686,65278,10
"부산광역시",북구,12328,14886514,145111,69617,75494,0,12182,14875733,145260,69040,76220,0,12082,15222445,147203,69107,78096,0,12072,15289976,149601,70638,78963,0,12065,15411103,144441,71150,73291,0,12063,14681891,143161,73448,69714,0
"부산광역시",해운대구,17602,30636675,250959,130482,105896,14581,17455,31317756,245838,127738,104342,13758,17339,31585598,255236,131130,109199,14908,17357,31965928,265001,137300,111986,15716,17386,32170198,259798,138150,107076,14572,17882,28584411,265397,144956,104962,15479
"부산광역시",사하구,24348,16681523,161415,82989,78426,0,23999,16709779,160946,82030,78916,0,23476,16943069,163803,82967,80836,0,23494,17168932,166161,84127,82035,0,23438,17504336,161816,84633,77183,0,22955,17532182,159924,87158,72766,0
"부산광역시",금정구,23268,13491702,143137,79079,64059,0,22971,13506034,141012,77489,63522,0,22629,13593859,143424,78134,65290,0,22580,13732514,146817,80958,65859,0,22506,13838631,140089,79837,60252,0,22076,13748398,141656,82966,58690,0
"부산광역시",강서구,18415,11397607,81054,59410,21644,0,18237,11804754,80009,58184,21825,0,18287,12666714,84934,61384,23550,0,19119,14049966,85951,61294,24657,0,19499,14508417,88863,64027,24836,0,20064,15903946,115780,90336,25444,0
"부산광역시",연제구,15021,11724669,113096,59443,53653,0,14805,11807128,112382,58153,54229,0,14600,12144529,116068,59543,56525,0,14555,12275667,119775,62693,57082,0,14518,12673088,117379,62654,54725,0,14410,12738212,121908,68219,53689,0
"부산광역시",수영구,15473,9574739,95996,47424,48571,0,15102,9805229,96705,47037,49502,166,14914,10119976,100232,48647,51585,0,14848,10305936,104304,51921,52383,0,14826,10514416,103270,53246,50024,0,14742,10784349,105622,56356,49266,0
"부산광역시",사상구,12874,12840667,114632,61725,52907,0,12646,12825242,112706,59748,52959,0,12573,12938185,114678,60349,54329,0,12620,13064919,117660,61603,56057,0,12677,16094343,117602,62263,55339,0,12882,15600553,117917,64275,53643,0
"부산광역시",기장군,13749,10218491,88995,49931,25132,13932,13794,10737465,90676,50076,25999,14601,13882,11314114,96347,52565,29110,14672,14416,11799464,108913,63456,30386,15072,14884,12513995,122555,77725,31053,13777,15076,13312770,120976,75761,31833,13383
"대구광역시",소계,210385,149613853,1498336,759009,660729,78598,204830,149782902,1489914,744370,662903,82641,201553,157482974,1546720,760365,702119,84235,201638,156808567,1559041,793026,681784,84230,212979,161816594,1546240,810226,658706,77308,212273,171894739,1570926,855570,639277,76079
"대구광역시",중구,12987,7929058,88462,55876,32586,0,12432,7786490,82275,51640,30635,0,12024,12879005,83882,51719,32164,0,11819,8122102,84034,53497,30536,0,11731,8363923,85965,53993,31972,0,11613,9719279,91064,58541,32523,0
"대구광역시",동구,33211,22490569,207076,104903,97925,4247,32130,22494301,205588,102795,98137,4657,31496,23034575,215969,105648,105080,5241,31463,23643800,218328,111438,101673,5217,31690,24358241,218212,114726,98518,4968,31531,29391172,226536,122318,99136,5082
"대구광역시",서구,28788,9763051,105503,58239,45206,2058,27658,9557431,104250,56737,45354,2159,27419,9621315,107774,57331,48260,2184,27170,9657637,107077,57815,47029,2233,27129,9872521,105571,58409,44852,2311,26942,10424093,102850,58504,42167,2179
"대구광역시",남구,24150,8396373,91724,43861,47862,0,23496,8322528,92411,43084,49327,0,22759,8404044,96853,43930,52922,0,22541,8418599,96610,45188,51422,0,22523,8897534,94888,45724,49163,0,22243,8946544,93693,46960,46733,0
"대구광역시",북구,29884,29591447,258355,126410,131945,0,29220,29765658,257547,124669,132878,0,28892,30422944,270562,128622,141940,0,29034,31522301,271621,133339,138282,0,28924,31101608,263078,132715,130363,0,29026,31228344,262738,139582,123155,0
"대구광역시",수성구,29719,25104979,266401,125649,140752,0,28714,25062800,266089,123671,142418,0,28250,25507165,274360,126174,148186,0,28313,26111198,274687,132809,141878,0,28340,26741695,270417,134161,136257,0,28264,27605304,274644,139763,134882,0
"대구광역시",달서구,31686,31144366,338502,166462,112536,59503,31297,31346033,338118,163827,111660,62631,30680,31376240,345882,165373,116774,63735,30656,31962094,347525,170251,113794,63480,30769,32685379,337557,169331,110191,58034,31038,33978625,337396,174941,105527,56928
"대구광역시",달성군,19962,15194010,142314,77609,51916,12788,19884,15447661,143637,77948,52494,13194,20032,16237686,151437,81568,56794,13075,20643,17370838,159160,88689,57170,13300,21038,18063476,160921,92537,56389,11996,21201,18954612,171227,105233,54103,11891
"대구광역시",군위군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10835,1732217,9631,8630,1001,0,10415,1646767,10780,9728,1052,0
"인천광역시",소계,170778,171137766,1977526,947886,838124,191515,168407,172704692,1930525,919909,815893,194723,168449,179273496,2000762,958238,828117,214408,170410,186933829,2119167,1028230,862863,228074,171994,196391919,2120979,1071162,817239,232578,173931,203100078,2244719,1159212,851882,233625
"인천광역시",중구,13309,12840952,166469,121970,43105,1395,13221,13032446,152897,110855,41925,116,13254,13725020,164816,114017,45281,5518,13557,15374951,196175,130703,51041,14431,13984,17018837,208294,141314,53360,13620,14282,19417705,231154,161225,56786,13144
"인천광역시",동구,6770,4237860,41403,21403,20000,0,6710,4252195,40286,20638,19648,0,6642,4396133,42200,21590,20610,0,6171,4413913,42220,21304,20917,0,5614,4612253,38739,19351,19388,0,5368,4583929,39145,20875,18270,0
"인천광역시",미추홀구,32372,20776079,251781,104585,143782,3414,31569,20987167,243401,100971,139991,2440,30634,21893305,253666,104350,143780,5536,30223,22361940,269887,111455,152467,5966,29293,22788548,257883,112660,138414,6810,29075,23819977,263576,118241,135723,9612
"인천광역시",연수구,7787,27170695,292891,149215,76658,67018,7815,27670841,294438,148590,74796,71052,7917,29636455,313996,159478,76234,78284,7975,30330054,324819,176474,79194,69151,8030,31345224,349162,195942,75291,77930,8218,29602264,337764,192663,73964,71137
"인천광역시",남동구,21156,30979933,336966,148757,154119,34090,20925,31254143,330136,144978,151268,33889,20824,31697594,338957,150711,152902,35344,20771,32211946,350626,157542,155795,37290,20523,32331997,338603,157674,146029,34900,20766,33165546,336422,165080,138167,33175
"인천광역시",부평구,23090,24294344,301458,127566,138453,35439,22030,24131245,293537,123283,134241,36013,22152,24890244,297366,125658,135111,36597,21661,25698231,305179,127539,139099,38541,21266,26259461,295619,128922,131840,34857,21363,27256480,301746,142438,125673,33635
"인천광역시",계양구,11747,14072762,174731,73772,86273,14686,11465,14061723,169529,71155,83492,14882,11460,14474009,173438,73046,84730,15662,11417,14636767,177716,73878,87435,16403,11470,14898077,169238,73403,81045,14790,11636,14352812,173754,83377,77403,12973
"인천광역시",서구,22722,30541850,365789,163989,166326,35474,22825,31068039,361465,164209,160925,36332,23314,32199270,369784,172941,159376,37467,24143,35105305,401441,189108,166040,46293,24905,40010099,411564,200428,161464,49671,25784,43484747,508515,232881,215686,59948
"인천광역시",강화군,24976,4708239,38008,28599,9409,0,24932,4698690,36858,27252,9606,0,25241,4783691,38189,28097,10092,0,27093,5138812,40944,30068,10876,0,29070,5402097,40752,30345,10407,0,29219,5605198,41694,31483,10211,0
"인천광역시",옹진군,6848,1515052,8031,8031,0,0,6915,1548202,7978,7978,0,0,7010,1577775,8350,8350,0,0,7397,1661908,10159,10159,0,0,7840,1725324,11124,11124,0,0,8220,1811419,10949,10949,0,0
"광주광역시",소계,118458,93599704,933704,447575,457642,28487,116694,94250937,925171,441996,453937,29238,115457,96718337,948628,453804,465076,29748,116233,99643757,979029,479738,468170,31121,116658,102188581,951535,484683,438709,28143,114920,103384139,982883,522020,433213,27651
"광주광역시",동구,15829,7956616,86838,46851,39988,0,15250,8036001,84425,44538,39887,0,15039,8376284,86882,44611,42271,0,15043,8560317,90380,47671,42709,0,15032,9164273,91032,49833,41199,0,14594,9417028,93890,53510,40380,0
"광주광역시",서구,20281,19151627,206113,98784,105744,1585,20098,19187311,202464,96991,104324,1149,19988,19737172,205272,98744,104977,1551,20067,20087120,208970,102047,105164,1758,20086,20571954,202532,102046,98375,2111,19784,20734020,214149,113728,98553,1868
"광주광역시",남구,20116,14203304,122673,54819,67854,0,19857,14371174,121720,54160,67560,0,19573,14540938,124347,55600,68747,0,19575,15047897,129240,59258,69981,0,19537,15193510,124300,59037,65263,0,18981,14345722,127300,62542,64758,0
"광주광역시",북구,34521,25888325,273092,129549,139117,4426,34160,25951299,270470,128465,137389,4616,34052,26599397,276573,131814,140246,4513,34122,27277803,281814,137402,139705,4707,34052,27647567,269898,137165,128566,4167,33613,28655015,274340,145367,124918,4056
"광주광역시",광산구,27711,26399832,244988,117572,104939,22477,27329,26705151,246093,117842,104778,23472,26806,27464546,255554,123035,108835,23684,27426,28670621,268625,133360,110610,24656,27952,29611277,263773,136603,105306,21865,27948,30232354,273204,146873,104604,21727
"대전광역시",소계,116249,103545068,1097720,565199,474031,58490,114707,103758694,1078933,563169,456958,58806,113509,105302257,1108594,579026,470080,59487,113711,107399699,1131186,596050,473388,61748,113530,109591037,1088621,583833,447809,56979,112739,103632930,1140492,646571,435114,58807
"대전광역시",동구,26044,13021363,135633,68313,67320,0,25606,12962336,130988,66319,64670,0,25209,13238696,134214,67617,66597,0,25106,13401697,137284,70216,67068,0,24903,13668448,134471,70823,63648,0,24574,14310510,136252,74527,61725,0
"대전광역시",중구,25318,14703398,155663,76636,79028,0,24873,14641097,151947,74610,77337,0,24329,14574800,152848,75249,77600,0,24053,14815056,153707,76315,77392,0,23655,14842674,143842,72937,70897,7,23298,14897791,147134,78195,68919,20
"대전광역시",서구,27457,33086163,312822,146668,141424,24729,26893,33103690,306583,145257,136097,25228,26588,33519183,313048,148917,139294,24837,26718,33897347,319874,153744,140619,25512,26760,34544392,314665,155633,135084,23948,26387,29232575,315541,165549,126475,23518
"대전광역시",유성구,19181,30412916,367883,203427,134559,29897,19173,30621661,364668,205808,128891,29970,19306,31160832,380183,214247,135175,30760,19645,32172213,391874,224392,135380,32102,19950,33230607,375342,217793,128285,29265,20203,32206968,420191,259039,129680,31472
"대전광역시",대덕구,18250,12321228,125718,70155,51700,3864,18161,12429909,124746,71176,49963,3607,18078,12808746,128300,72995,51415,3890,18189,13113386,128447,71383,52930,4134,18263,13304915,120301,66646,49895,3760,18277,12985085,121374,69262,48315,3797
"울산광역시",소계,102728,72432181,776866,419438,357428,0,102192,72891041,773021,411522,361499,0,102023,73873007,786035,418283,367752,0,102927,75019758,803258,429456,373802,0,104494,76860680,787759,433964,353794,0,106441,78957747,822360,470202,352158,0
"울산광역시",중구,21429,12105110,124879,55118,69761,0,21035,12016517,124322,54480,69842,0,20659,12058694,124943,54752,70191,0,20455,12071078,126591,55916,70676,0,20378,12250393,120410,55274,65136,0,20173,12386590,122789,59143,63646,0
"울산광역시",남구,26127,23056448,302386,186936,115450,0,25981,23256512,296487,181652,114835,0,25520,23387911,297698,182405,115293,0,24931,23581260,304070,187503,116567,0,24740,23869806,299008,188292,110716,0,25478,23862027,305763,197357,108406,0
"울산광역시",동구,11102,8620045,90027,38375,51652,0,11086,8658348,89423,37713,51709,0,11082,8655441,90453,38678,51775,0,11101,8692232,92886,39473,53413,0,11098,8896785,89610,40120,49491,0,11120,9184152,92602,42900,49702,0
"울산광역시",북구,12123,13154016,107716,47658,60058,0,12213,13438661,110799,48122,62677,0,12483,13869871,116020,50818,65202,0,12870,14145399,121991,55735,66257,0,13315,15067214,120806,57696,63111,0,14164,15479292,132492,67264,65228,0
